Компания,Email,Сайт,Проверка e-mail,Проверка строки,Что реально на сайте,Что на домене e-mail,Вывод и что делать,Персонализация,Источник персонализации,Цитата-подтверждение,Статус персонализации
Mingwen Intelligent,sales01@mgwmachine.com,mgwmachine.com,MX ок,компания не из России (China),Mingwen Intelligent Technology (铭文智能科技有限公司),,"Китайский производитель (Гуандун). Строка внутренне согласована, но вне ЦА Polza (российский B2B). В рассылку не брать, если кампания не про экспорт станков в РФ.","Увидел на сайте, что вы занимаете 70% рынка ротационных машин для газового оборудования. Это значит, что у вас есть серьёзная позиция в нише и большая база клиентов.",https://www.mgwmachine.com/,特别是在燃气设备制造行业，铭文的 rotary transfer machine 在市场中占有70%的份额。,подтверждено (high)
HNC,sales@hnc.su,hnc.su,MX ок,ок,HNC Electric,HNC Electric,"Строка согласована: сайт hnc.su и почта на том же домене. По сути китайский производитель приводов и ЧПУ с русскоязычным сайтом, в РФ работает через дистрибьютора. Пригодна условно: писать стоит российскому представительству.","Увидел у вас в каталоге несколько линеек преобразователей - HV320, HV10, HV100. Такой диапазон обычно требует целевых кампаний для поиска новых партнеров в разных сегментах.",https://hnc.su/,Преобразователи частоты HV320 (53) HV10 (22) HV100 (67) HV480 (64) HV380S (5) HV610 (89),подтверждено (high)
Tengzhong Machinery,sales01@nttzmt.com,uncomtech.ru,"MX ок, но домен письма ≠ домену сайта — проверить","домен e-mail (nttzmt.com) не совпадает с сайтом (uncomtech.ru); на сайте другая компания: Ункомтех — поставщик кабельно-проводниковой продукции (РФ); e-mail принадлежит именно «Tengzhong Machinery» → сайт в строке, похоже, чужой",Ункомтех — поставщик кабельно-проводниковой продукции (РФ),南通腾中机械制造有限公司 — производство гидравлических машин (Китай),"ПЕРЕПУТАНО. Сайт uncomtech.ru принадлежит ТД «Ункомтех» (кабель, РФ), а почта sales01@nttzmt.com — китайской Tengzhong (гидравлика). Разложить на две строки: Tengzhong → nttzmt.com; ТД Ункомтех → uncomtech.ru + почта с этого сайта.","Увидел, что продукцию используют во всех основных отраслях: энергетика, нефтегаз, машиностроение, оборонный комплекс. Можем помочь структурировать аутрич по отраслям.",https://www.uncomtech.ru/company,"Продукция АО «Иркутсккабель» и АО «Кирскабель» востребована практически всеми отраслями: энергетикой, нефте- и газодобывающей отраслью, оборонным комплексом, транспортом, машиностроением, строительной",подтверждено (high)
Tesid Equipment,sales@unimach.ru,unimach.ru,MX ок,на сайте другая компания: Юнимаш (UniMach),Юнимаш (UniMach),Юнимаш (UniMach),"ПЕРЕПУТАНО НАЗВАНИЕ. И сайт, и почта = «Юнимаш» (unimach.ru, поставщик станков, РФ). Компании «Tesid Equipment» в строке нет. Переименовать в Юнимаш; строка после этого пригодна и в ЦА.","Заметил, что с 2007 года вы поставили более 1700 станков на российские предприятия. За такой период и объём поставок у вас должен быть хорошо налажен процесс привлечения корпоративных клиентов.",https://unimach.ru/,С 2007 года компания поставила более 1700 станков на различные российские предприятия,подтверждено (high)
ТД Ункомтех,sales@thebestcnc.com,saintymachine.com,"MX ок, но домен письма ≠ домену сайта — проверить",такой же сайт у другой строки; домен e-mail (thebestcnc.com) не совпадает с сайтом (saintymachine.com); на сайте другая компания: Sainty Machinery; компания не из России (China),Sainty Machinery,Ouka CNC (Huafei CNC),"ПЕРЕПУТАНО ДВАЖДЫ. Название российского ТД «Ункомтех» стоит у строки с сайтом Sainty Machinery (Китай) и почтой Ouka CNC (thebestcnc.com, Китай). Сайт дублирует строку Shixinghong. Ункомтех вернуть на uncomtech.ru (см. строку 3); эту строку удалить или разложить.","Заметил на вашем сайте новость про 136 Canton Fair в октябре, где встречались со старыми и новыми партнёрами. Линейку расширяете — добавили popcorn vending machines для развлекательных центров и транспортных хабов.",https://www.saintymachine.com/,Our company participated in the 136th Canton Fair from October 15th to 19th. Many new and old friends experienced our vending machines and kitchen equipments.,подтверждено (high)
JAT Cemented Carbide,sales@jillionsupply.com,jillionsupply.com,MX ок,на сайте другая компания: Поставщик промышленного оборудования и компонентов; компания не из России (China),Поставщик промышленного оборудования и компонентов,неизвестно,"ПЕРЕПУТАНО НАЗВАНИЕ. Сайт и почта = Jillion Supply (поставщик пром. компонентов, Китай). Название JAT относится к следующей строке (jat-carbide.com). Переименовать в Jillion Supply; вне ЦА.","Заметил на сайте, что предоставляете сертифицированные услуги ремонта промышленного оборудования (CNC, роботы, лазеры).",https://www.jillionsupply.com/repair-services.html,"Jillion Supply provides certified repair services for all major industrial automation systems sold through our platform, extending equipment lifespan with OEM-level technical expertise.",подтверждено (high)
Rogen Technologies,sales@jatcarbide.com,jat-carbide.com,"MX ок, но домен письма ≠ домену сайта — проверить",домен e-mail (jatcarbide.com) не совпадает с сайтом (jat-carbide.com); на сайте другая компания: Jat Carbide; компания не из России (China),Jat Carbide,JAT Carbide,"ПЕРЕПУТАНО НАЗВАНИЕ. Сайт jat-carbide.com и почта @jatcarbide.com = JAT Carbide (твердосплавный инструмент, Китай). Домены различаются дефисом, это одна компания. «Rogen Technologies» здесь лишнее. Вне ЦА.","Заметил у вас на сайте 400+ моделей milling inserts как замену популярным японским и корейским брендам. Таких клиентов нужно искать активно — они не найдут вас сами, если раньше работали с японскими и корейскими брендами.",https://www.jat-carbide.com/,"JAT CNC carbide milling inserts are a perfect substitute for popular Japanese and Korean brands like Z**T, Kor**, Dur**, Hita**, and Tae**.",подтверждено (high)
Искролайн,sales@iskroline.ru,iskroline.ru,MX ок,ок,Искролайн — российский производитель атомно-эмиссионных спектрометров,неизвестно (домен не открывается),"Чисто: российский производитель спектрометров, почта на своём домене, MX живой. В ЦА Polza (производство, B2B, есть отдел продаж). Брать.","Заметил, что в июле вы добавили дополнительное оборудование: станок Торнадо-1 и держатель ДФС Трио для подготовки образцов к спектральному анализу. Это расширяет возможности ваших клиентов улучшить подготовку проб без замены основного парка.",https://www.iskroline.ru/news/,Эти решения расширяют спектрометрические возможности лабораторий без замены основного парка оборудования и упрощают работу лаборантов.,подтверждено (high)
Jimmy CNC Tool,sales@jimmytool.com,jimmytool.com,MX ок,компания не из России (China),JIMMY (Carbide End Mills Manufacturer),,"Строка согласована, компания китайская (фрезы). Вне ЦА.","Обратили внимание, что вы фокусируетесь на четырех секторах: aerospace, automotive, medical и mold manufacturing. Каждый требует разных типов инструментов и разной работы с дилерами.",https://jimmytool.com/about-us/,"The company's precision cutting tools are primarily used in cutting-edge fields such as aerospace, automotive, machinery, medical equipment, plastic mold manufacturing, and metal mold manufacturing.",подтверждено (high)
Ezhong Heavy Machinery,sales@ezhonggroup.com,ezhonggroup.com,MX ок,на сайте другая компания: EZHONG (производитель гидравлических прессов и машин прокатки); компания не из России (предположительно Китай),EZHONG (производитель гидравлических прессов и машин прокатки),неизвестно,"Строка согласована, компания китайская (прессы). Вне ЦА.","Заметил, что вы поставляете оборудование для атомной энергетики, ветроэнергетики и судостроения — отрасли, где постоянно растут объёмы и нужны надёжные решения для гибки пластин. Эти секторы активно расширяют производство и ищут поставщиков, которые могут обеспечить масштабирование.",https://www.ezhonggroup.com/products/,"covering shipbuilding, locomotives, nuclear power, wind power, hydropower, boilers, military industry, metallurgy, chemical industry, bridges, aviation, power transmission and transformation and other",подтверждено (high)
